═══ SOL迷因雷達 報告 v2.5 ═══
時間: 2026/7/26 09:15:49

【口袋名單】共 137 筆

-- 2026-07-26 批次 第0天 (9隻) --
GHOSTI | B63分 | 盾:verified | 蟬聯2天 | 進0.00007714 | 現0.00006442 | 損益-16.5% | 峰值+53.9% | 追蹤中
SCAPE | B60分 | 盾:verified | 首日 | 進0.00008321 | 現0.00004941 | 損益-40.6% | 峰值+0.0% | 追蹤中

-- 2026-07-18 批次 第8天 (6隻) --
BULLARMY | S82分 | 盾:verified | 蟬聯2天 | 進0.0002482 | 現0.000002373 | 損益-99.0% | 峰值+48.5% | 查無報價疑歸零
Chameleon | A76分 | 盾:verified | 首日 | 進0.00007903 | 現0.00003626 | 損益-54.1% | 峰值+17.5% | 追蹤中
CAVIAR | A75分 | 盾:verified | 首日 | 進0.0001577 | 現0.00004593 | 損益-70.9% | 峰值+0.0% | 查無報價疑歸零
sAGENT | A68分 | 盾:verified | 首日 | 進0.0001476 | 現0.00006052 | 損益-59.0% | 峰值+30.4% | 追蹤中
papoi | S86分 | 盾:verified | 首日 | 進0.00009676 | 現0.00002057 | 損益-78.7% | 峰值+0.0% | 查無報價疑歸零
Quasi | A75分 | 盾:verified | 首日 | 進0.00003435 | 現0.00001742 | 損益-49.3% | 峰值×2.86 | 查無報價疑歸零

-- 2026-07-17 批次 第8天 (10隻) --
CUBEMAN | S89分 | 盾:verified | 首日 | 進0.0008962 | 現0.000008263 | 損益-99.1% | 峰值×8.52 | 曾達5x達標
KET | S84分 | 盾:verified | 首日 | 進0.001173 | 現0.01334 | 損益×11.37 | 峰值×14.81 | 曾達5x達標
HBULL | S83分 | 盾:verified | 蟬聯4天 | 進0.003697 | 現0.001336 | 損益-63.9% | 峰值+4.1% | 追蹤中
Trump Coin | S80分 | 盾:verified | 首日 | 進0.0002330 | 現0.00004521 | 損益-80.6% | 峰值+0.0% | 陣亡(70%)
CASHGOAT | A73分 | 盾:verified | 首日 | 進0.0001784 | 現0.000001840 | 損益-99.0% | 峰值+0.6% | 查無報價疑歸零
LIZARD | A71分 | 盾:verified | 首日 | 進0.0001180 | 現0.00001638 | 損益-86.1% | 峰值+0.0% | 查無報價疑歸零
HOMIE | A67分 | 盾:verified | 首日 | 進0.0005484 | 現0.000004619 | 損益-99.2% | 峰值+88.8% | 查無報價疑歸零
Toly | S84分 | 盾:verified | 首日 | 進0.00009556 | 現0.000005483 | 損益-94.3% | 峰值×2.14 | 查無報價疑歸零
DBULL | S80分 | 盾:verified | 首日 | 進0.00005629 | 現0.00001488 | 損益-73.6% | 峰值×4.27 | 查無報價疑歸零
HORNY | A77分 | 盾:verified | 首日 | 進0.00003272 | 現0.00002600 | 損益-20.5% | 峰值+0.2% | 查無報價疑歸零

-- 2026-07-16 批次 第9天 (8隻) --
BULLSOL | S91分 | 盾:verified | 首日 | 進0.0002218 | 現0.000002280 | 損益-99.0% | 峰值+0.0% | 查無報價疑歸零
MAHUTA  | S86分 | 盾:verified | 首日 | 進0.0002712 | 現0.00002039 | 損益-92.5% | 峰值+0.0% | 陣亡(70%)
BARRON | S84分 | 盾:verified | 首日 | 進0.0003217 | 現0.000009892 | 損益-96.9% | 峰值+0.0% | 陣亡(70%)
BULLDOG | S83分 | 盾:verified | 首日 | 進0.0001138 | 現0.00001740 | 損益-84.7% | 峰值+55.6% | 查無報價疑歸零
RELIC | A71分 | 盾:verified | 首日 | 進0.0001692 | 現0.00008445 | 損益-50.1% | 峰值+0.0% | 追蹤中
AGR | A68分 | 盾:verified | 首日 | 進0.0002065 | 現0.00007822 | 損益-62.1% | 峰值+7.7% | 查無報價疑歸零
bul | S91分 | 盾:verified | 首日 | 進0.0001050 | 現0.000002055 | 損益-98.0% | 峰值×2.06 | 查無報價疑歸零
RJ | S79分 | 盾:verified | 首日 | 進0.00006877 | 現0.00001716 | 損益-75.0% | 峰值+0.0% | 查無報價疑歸零

-- 2026-07-15 批次 第10天 (10隻) --
MIM | S88分 | 盾:verified | 首日 | 進0.0004134 | 現0.00002331 | 損益-94.4% | 峰值+0.0% | 陣亡(70%)
Cardtopia | S88分 | 盾:verified | 首日 | 進0.0003908 | 現0.000003808 | 損益-99.0% | 峰值+0.0% | 查無報價疑歸零
CP | S84分 | 盾:verified | 首日 | 進0.0001418 | 現0.0001416 | 損益-0.1% | 峰值+0.0% | 查無報價疑歸零
BULLCAT | A73分 | 盾:verified | 首日 | 進0.0003698 | 現0.00007908 | 損益-78.6% | 峰值×5.91 | 曾達5x達標
Udin | A64分 | 盾:verified | 首日 | 進0.0003487 | 現0.0005806 | 損益+66.5% | 峰值+71.9% | 上漲中
LCID | A75分 | 盾:verified | 首日 | 進0.00005505 | 現0.00005397 | 損益-2.0% | 峰值+0.0% | 查無報價疑歸零
