═══ SOL迷因雷達 報告 v2.5 ═══
時間: 2026/7/30 08:00:24

【口袋名單】共 167 筆

-- 2026-07-30 批次 第0天 (10隻) --
Jimhood | S85分 | 盾:verified | 首日 | 進0.0008171 | 現2.700 | 損益×3304.37 | 峰值×3304.37 | 查無報價疑歸零
MOONY | S84分 | 盾:verified | 首日 | 進0.0001242 | 現0.000001927 | 損益-98.4% | 峰值+0.0% | 陣亡(70%)
1jimothy | A77分 | 盾:verified | 首日 | 進0.001180 | 現0.000003741 | 損益-99.7% | 峰值×3.02 | 陣亡(70%)
RTM | A72分 | 盾:verified | 首日 | 進0.0003514 | 現0.0001777 | 損益-49.4% | 峰值+0.0% | 追蹤中
Rigby | A64分 | 盾:verified | 首日 | 進0.0002621 | 現0.00005189 | 損益-80.2% | 峰值+34.3% | 陣亡(70%)
LEAD | A77分 | 盾:verified | 首日 | 進0.00003317 | 現0.000002225 | 損益-93.3% | 峰值+77.7% | 查無報價疑歸零
GROKATHON | A77分 | 盾:verified | 首日 | 進0.00002683 | 現0.000009197 | 損益-65.7% | 峰值+0.4% | 追蹤中

-- 2026-07-20 批次 第9天 (4隻) --
YMIR | A73分 | 盾:verified | 首日 | 進0.0003809 | 現0.00002308 | 損益-93.9% | 峰值+30.1% | 查無報價疑歸零
CONVICTION | S80分 | 盾:verified | 首日 | 進0.00006399 | 現0.000002148 | 損益-96.6% | 峰值+0.8% | 查無報價疑歸零
HORSE | A77分 | 盾:verified | 首日 | 進0.00006919 | 現0.00004696 | 損益-32.1% | 峰值×3.65 | 曾達2x
Wukong | A75分 | 盾:verified | 首日 | 進0.00003739 | 現0.00003594 | 損益-3.9% | 峰值+0.0% | 查無報價疑歸零

-- 2026-07-19 批次 第10天 (9隻) --
Chonketha | S82分 | 盾:verified | 首日 | 進0.0001540 | 現0.001604 | 損益×10.42 | 峰值×11.58 | 曾達5x達標
WINGIT | S81分 | 盾:verified | 首日 | 進0.005136 | 現0.001761 | 損益-65.7% | 峰值+0.0% | 追蹤中
PRIETA | S81分 | 盾:verified | 首日 | 進0.0001869 | 現0.000006984 | 損益-96.3% | 峰值+2.0% | 查無報價疑歸零
PONED | A75分 | 盾:verified | 首日 | 進0.0003519 | 現0.0001410 | 損益-59.9% | 峰值+68.7% | 追蹤中
SharkCAT | S80分 | 盾:verified | 首日 | 進0.00003678 | 現0.00001537 | 損益-58.2% | 峰值+33.7% | 追蹤中
Rod | S79分 | 盾:verified | 首日 | 進0.00003457 | 現0.00002522 | 損益-27.0% | 峰值×2.07 | 查無報價疑歸零
bcat | B63分 | 盾:verified | 首日 | 進0.0001046 | 現0.0001879 | 損益+79.6% | 峰值×3.45 | 曾達2x
GHOSTI | B63分 | 盾:verified | 蟬聯2天 | 進0.00007714 | 現0.00004823 | 損益-37.5% | 峰值+53.9% | 追蹤中
SCAPE | B60分 | 盾:verified | 首日 | 進0.00008321 | 現0.00005679 | 損益-31.8% | 峰值+0.0% | 追蹤中

-- 2026-07-18 批次 第12天 (6隻) --
BULLARMY | S82分 | 盾:verified | 蟬聯2天 | 進0.0002482 | 現0.000002373 | 損益-99.0% | 峰值+48.5% | 查無報價疑歸零
Chameleon | A76分 | 盾:verified | 首日 | 進0.00007903 | 現0.00002881 | 損益-63.5% | 峰值+17.5% | 追蹤中
CAVIAR | A75分 | 盾:verified | 首日 | 進0.0001577 | 現0.00004593 | 損益-70.9% | 峰值+0.0% | 查無報價疑歸零
sAGENT | A68分 | 盾:verified | 首日 | 進0.0001476 | 現0.00003437 | 損益-76.7% | 峰值+30.4% | 陣亡(70%)
papoi | S86分 | 盾:verified | 首日 | 進0.00009676 | 現0.00001282 | 損益-86.8% | 峰值+0.0% | 陣亡(70%)
Quasi | A75分 | 盾:verified | 首日 | 進0.00003435 | 現0.000009359 | 損益-72.8% | 峰值×2.86 | 陣亡(70%)

-- 2026-07-17 批次 第12天 (10隻) --
CUBEMAN | S89分 | 盾:verified | 首日 | 進0.0008962 | 現0.000005942 | 損益-99.3% | 峰值×8.52 | 曾達5x達標
KET | S84分 | 盾:verified | 首日 | 進0.001173 | 現0.007548 | 損益×6.43 | 峰值×14.81 | 曾達5x達標
HBULL | S83分 | 盾:verified | 蟬聯4天 | 進0.003697 | 現0.001564 | 損益-57.7% | 峰值+4.1% | 追蹤中
Trump Coin | S80分 | 盾:verified | 首日 | 進0.0002330 | 現0.00002717 | 損益-88.3% | 峰值+0.0% | 陣亡(70%)
CASHGOAT | A73分 | 盾:verified | 首日 | 進0.0001784 | 現0.000001840 | 損益-99.0% | 峰值+0.6% | 查無報價疑歸零
LIZARD | A71分 | 盾:verified | 首日 | 進0.0001180 | 現0.00001212 | 損益-89.7% | 峰值+0.0% | 查無報價疑歸零
HOMIE | A67分 | 盾:verified | 首日 | 進0.0005484 | 現0.000004619 | 損益-99.2% | 峰值+88.8% | 查無報價疑歸零
Toly | S84分 | 盾:verified | 首日 | 進0.00009556 | 現0.000005483 | 損益-94.3% | 峰值×2.14 | 查無報價疑歸零
DBULL | S80分 | 盾:verified | 首日 | 進0.00005629 | 現0.00001488 | 損益-73.6% | 峰值×4.27 | 查無報價疑歸零
HORNY | A77分 | 盾:verified | 首日 | 進0.00003272 | 現0.00002600 | 損益-20.5% | 峰值+0.2% | 查無報價疑歸零

-- 2026-07-16 批次 第13天 (8隻) --
BULLSOL | S91分 | 盾:verified | 首日 | 進0.0002218 | 現0.000007059 | 損益-96.8% | 峰值+0.0% | 陣亡(70%)
MAHUTA  | S86分 | 盾:verified | 首日 | 進0.0002712 | 現0.00001786 | 損益-93.4% | 峰值+0.0% | 查無報價疑歸零
BARRON | S84分 | 盾:verified | 首日 | 進0.0003217 | 現0.00001108 | 損益-96.6% | 峰值+0.0% | 陣亡(70%)
BULLDOG | S83分 | 盾:verified | 首日 | 進0.0001138 | 現0.00001740 | 損益-84.7% | 峰值+55.6% | 查無報價疑歸零
RELIC | A71分 | 盾:verified | 首日 | 進0.0001692 | 現0.0001009 | 損益-40.4% | 峰值+0.0% | 追蹤中
AGR | A68分 | 盾:verified | 首日 | 進0.0002065 | 現0.00007822 | 損益-62.1% | 峰值+7.7% | 查無報價疑歸零
bul | S91分 | 盾:verified | 首日 | 進0.0001050 | 現0.000002055 | 損益-98.0% | 峰值×2.06 | 查無報價疑歸零
RJ | S79分 | 盾:verified | 首日 | 進0.00006877 | 現0.00001716 | 損益-75.0% | 峰值+0.0% | 查無報價疑歸零

-- 2026-07-15 批次 第14天 (10隻) --
MIM | S88分 | 盾:verified | 首日 | 進0.0004134 | 現0.00002000 | 損益-95.2% | 峰值+0.0% | 陣亡(70%)
Cardtopia | S88分 | 盾:verified | 首日 | 進0.0003908 | 現0.000003808 | 損益-99.0% | 峰值+0.0% | 查無報價疑歸零
CP | S84分 | 盾:verified | 首日 | 進0.0001418 | 現0.0001416 | 損益-0.1% | 峰值+0.0% | 查無報價疑歸零
BULLCAT | A73分 | 盾:verified | 首日 | 進0.0003698 | 現0.00005869 | 損益-84.1% | 峰值×5.91 | 曾達5x達標
Udin | A64分 | 盾:verified | 首日 | 進0.0003487 | 現0.0004204 | 損益+20.6% | 峰值+80.0% | 上漲中
LCID | A75分 | 盾:verified | 首日 | 進0.00005505 | 現0.00005397 | 損益-2.0% | 峰值+0.0% | 查無報價疑歸零
Peigengoo | A73分 | 盾:verified | 首日 | 進0.00005972 | 現0.00009407 | 損益+57.5% | 峰值×4.30 | 曾達2x
$shart | A71分 | 盾:verified | 首日 | 進0.00002860 | 現0.00002860 | 損益+0.0% | 峰值+0.0% | 查無報價疑歸零
POINTLESS | A69分 | 盾:verified | 首日 | 進0.00006806 | 現0.000005968 | 損益-91.2% | 峰值+0.0% | 陣亡(70%)
TOESCOIN | B63分 | 盾:verified | 首日 | 進0.005733 | 現0.006824 | 損益+19.0% | 峰值+34.8% | 上漲中

-- 2026-07-14 批次 第15天 (6隻) --
HOOD | S94分 | 盾:verified | 首日 | 進0.0001051 | 現0.0001041 | 損益-1.0% | 峰值+0.0% | 查無報價疑歸零
brain | S85分 | 盾:verified | 首日 | 進0.0005549 | 現0.00001897 | 損益-96.6% | 峰值+20.0% | 陣亡(70%)
Diarrhea | S84分 | 盾:verified | 首日 | 進0.0003178 | 現0.00002660 | 損益-91.6% | 峰值+8.5% | 陣亡(70%)
CashDog | S82分 | 盾:verified | 首日 | 進0.0001129 | 現0.000004401 | 損益-96.1% | 峰值+1.6% | 陣亡(70%)
PEPE | A72分 | 盾:verified | 首日 | 進0.00006284 | 現0.000001685 | 損益-97.3% | 峰值+36.7% | 查無報價疑歸零
ROAST | B63分 | 盾:verified | 首日 | 進0.00003567 | 現0.00003567 | 損益+0.0% | 峰值+0.0% | 查無報價疑歸零

-- 2026-07-13 批次 第16天 (8隻) --
SUNNYS | S92分 | 盾:verified | 首日 | 進0.001218 | 現0.000002965 | 損益-99.8% | 峰值+76.6% | 陣亡(70%)
HYPNO | S92分 | 盾:verified | 首日 | 進0.0004455 | 現0.000003227 | 損益-99.3% | 峰值+4.8% | 陣亡(70%)
gaycoin | S87分 | 盾:verified | 首日 | 進0.001788 | 現0.000002276 | 損益-99.9% | 峰值+29.3% | 陣亡(70%)
Bison | S85分 | 盾:verified | 首日 | 進0.0003467 | 現0.000006981 | 損益-98.0% | 峰值+3.9% | 陣亡(70%)
RTM | A74分 | 盾:verified | 蟬聯2天 | 進0.0005153 | 現0.0001777 | 損益-65.5% | 峰值+2.1% | 追蹤中
memecoin | A64分 | 盾:verified | 首日 | 進0.002860 | 現0.001279 | 損益-55.3% | 峰值+13.5% | 追蹤中
PUMPCAT | S94分 | 盾:verified | 首日 | 進0.00009188 | 現0.000008165 | 損益-91.1% | 峰值+55.2% | 陣亡(70%)
CASHPIGGY | A71分 | 盾:verified | 首日 | 進0.00002477 | 現0.00002394 | 損益-3.4% | 峰值+0.0% | 查無報價疑歸零

-- 2026-07-12 批次 第18天 (7隻) --
BARKITO | S92分 | 盾:verified | 首日 | 進0.0003637 | 現0.000002145 | 損益-99.4% | 峰值+0.0% | 陣亡(70%)
GHOSTI | S80分 | 盾:verified | 蟬聯2天 | 進0.0001854 | 現0.00004823 | 損益-74.0% | 峰值+2.3% | 陣亡(70%)
CATWIF | A76分 | 盾:verified | 蟬聯2天 | 進0.0004572 | 現0.00006626 | 損益-85.5% | 峰值+12.6% | 陣亡(70%)
LCM | A76分 | 盾:verified | 首日 | 進0.0001853 | 現0.000002396 | 損益-98.7% | 峰值+0.6% | 陣亡(70%)
REX | A75分 | 盾:verified | 首日 | 進0.0003903 | 現0.0001025 | 損益-73.7% | 峰值+44.9% | 陣亡(70%)
CASHCAT | A72分 | 盾:verified | 首日 | 進0.0002099 | 現0.00002160 | 損益-89.7% | 峰值+10.3% | 陣亡(70%)
FrogCat | S94分 | 盾:verified | 首日 | 進0.0001087 | 現0.000002360 | 損益-97.8% | 峰值+0.0% | 陣亡(70%)

-- 2026-07-11 批次 第19天 (10隻) --
PROPHECY | S88分 | 盾:verified | 首日 | 進0.0001267 | 現0.000005760 | 損益-95.5% | 峰值+72.3% | 陣亡(70%)
BatCat | S88分 | 盾:verified | 首日 | 進0.0001253 | 現0.0001250 | 損益-0.2% | 峰值×2.70 | 曾達2x
ASTRA | S80分 | 盾:verified | 首日 | 進0.0002610 | 現0.000001928 | 損益-99.3% | 峰值+51.9% | 陣亡(70%)
Silk | S80分 | 盾:verified | 首日 | 進0.0001269 | 現0.000004141 | 損益-96.7% | 峰值×2.23 | 陣亡(70%)
Rizzler | A70分 | 盾:verified | 蟬聯2天 | 進0.0001391 | 現0.000004013 | 損益-97.1% | 峰值+13.7% | 陣亡(70%)
SCAPE | A66分 | 盾:verified | 首日 | 進0.00007138 | 現0.00005679 | 損益-20.4% | 峰值×2.81 | 曾達2x
FKB | S87分 | 盾:verified | 首日 | 進0.00003277 | 現0.000001565 | 損益-95.2% | 峰值+0.0% | 陣亡(70%)
SMOLE | S86分 | 盾:verified | 首日 | 進0.00008333 | 現0.000002742 | 損益-96.7% | 峰值×2.35 | 陣亡(70%)
larry | A77分 | 盾:verified | 首日 | 進0.00007187 | 現0.000001587 | 損益-97.8% | 峰值+0.0% | 查無報價疑歸零
tygary | A71分 | 盾:verified | 首日 | 進0.00003151 | 現0.00006300 | 損益+99.9% | 峰值×2.99 | 曾達2x

-- 2026-07-10 批次 第19天 (10隻) --
ANIF | S95分 | 盾:- | 首日 | 進0.001328 | 現0.000002118 | 損益-99.8% | 峰值+61.8% | 陣亡(70%)
NIGGABULL | S95分 | 盾:- | 首日 | 進0.001270 | 現0.000003828 | 損益-99.7% | 峰值+11.3% | 陣亡(70%)
DARK | S92分 | 盾:- | 首日 | 進0.0007344 | 現0.000005404 | 損益-99.3% | 峰值+57.6% | 陣亡(70%)
tolywifhat | S88分 | 盾:- | 首日 | 進0.001109 | 現0.000005420 | 損益-99.5% | 峰值+22.8% | 陣亡(70%)
CASHCAT | S87分 | 盾:- | 首日 | 進0.0005716 | 現0.00003150 | 損益-94.5% | 峰值×8.35 | 曾達5x達標
HAAL9K | S86分 | 盾:- | 首日 | 進0.001251 | 現0.0002424 | 損益-80.6% | 峰值×5.53 | 曾達5x達標
CAPTOLY | S82分 | 盾:- | 首日 | 進0.0001230 | 現0.000001785 | 損益-98.5% | 峰值+50.1% | 查無報價疑歸零
SPINY | S80分 | 盾:- | 首日 | 進0.0001207 | 現0.000004011 | 損益-96.7% | 峰值×2.83 | 陣亡(70%)
GAYU | A75分 | 盾:- | 首日 | 進0.0002099 | 現0.00004213 | 損益-79.9% | 峰值+56.4% | 陣亡(70%)
LOA | A72分 | 盾:- | 首日 | 進0.0008673 | 現0.0006665 | 損益-23.2% | 峰值+3.4% | 追蹤中

【當前雷達掃描】43 隻（依分數排序，前12）
SMUGPUG | S94分 | MC 106.6K | LQ 23.1K | 1H +0.6% | 24H +84.8% | 換手392% | 買壓70%
DrTrump | S88分 | MC 720.0K | LQ 63.9K | 1H -11.3% | 24H +903% | 換手208% | 買壓78% | ★候選
CHEEMS | S88分 | MC 106.8K | LQ 24.3K | 1H +108% | 24H +108% | 換手333% | 買壓60%
CATE | S83分 | MC 173.5K | LQ 33.7K | 1H -27.3% | 24H +476% | 換手1492% | 買壓55%
pumpcat | S83分 | MC 113.5K | LQ 24.2K | 1H +650% | 24H +281% | 換手333% | 買壓59%
Solanus | S82分 | MC 87.9K | LQ 20.7K | 1H +188% | 24H +188% | 換手318% | 買壓58%
Agensis | S82分 | MC 39.5K | LQ 13.5K | 1H +145% | 24H +37.2% | 換手214% | 買壓55%
BABYJIMOTHY | S80分 | MC 138.4K | LQ 44.5K | 1H +0.1% | 24H +1508% | 換手189% | 買壓90% | ★候選
Hachiware | S80分 | MC 177.3K | LQ 29.3K | 1H +177% | 24H +177% | 換手67% | 買壓78% | ★候選
OnlyMarms | A76分 | MC 155.9K | LQ 31.1K | 1H -15.3% | 24H +855% | 換手775% | 買壓51% | ★候選
PIPEDOG | A76分 | MC 38.8K | LQ 13.2K | 1H +0.2% | 24H +30.3% | 換手212% | 買壓51%
panama | A75分 | MC 52.1K | LQ 16.4K | 1H +49.1% | 24H +41.8% | 換手158% | 買壓50%
