═══ SOL迷因雷達 報告 v2.5 ═══
時間: 2026/8/1 07:57:56

【口袋名單】共 186 筆

-- 2026-08-01 批次 第0天 (9隻) --
longy | A76分 | 盾:verified | 首日 | 進0.00008127 | 現0.000001839 | 損益-97.7% | 峰值+0.0% | 查無報價疑歸零
CCAT | A76分 | 盾:verified | 首日 | 進0.00005160 | 現0.00001605 | 損益-68.9% | 峰值+94.5% | 追蹤中

-- 2026-07-23 批次 第8天 (3隻) --
Bella | S87分 | 盾:verified | 首日 | 進0.0001191 | 現0.00001049 | 損益-91.2% | 峰值+0.0% | 陣亡(70%)
Jimberly | S82分 | 盾:verified | 首日 | 進0.00004059 | 現0.000003315 | 損益-91.8% | 峰值+0.0% | 陣亡(70%)
Gigaroo | B60分 | 盾:verified | 首日 | 進0.00002675 | 現0.000001751 | 損益-93.5% | 峰值+3.4% | 陣亡(70%)

-- 2026-07-22 批次 第9天 (7隻) --
ANSEMOTHY | S88分 | 盾:verified | 首日 | 進0.0001594 | 現0.000004748 | 損益-97.0% | 峰值+0.4% | 陣亡(70%)
BABYJIMOTHY | S88分 | 盾:verified | 首日 | 進0.0002352 | 現0.00002250 | 損益-90.4% | 峰值+0.0% | 陣亡(70%)
Cuda | S83分 | 盾:verified | 首日 | 進0.0002936 | 現0.000001577 | 損益-99.5% | 峰值+0.0% | 查無報價疑歸零
MEMIPEDE | A71分 | 盾:verified | 首日 | 進0.0001901 | 現0.0001732 | 損益-8.9% | 峰值×2.41 | 曾達2x
SOLANA | A65分 | 盾:verified | 首日 | 進0.0003824 | 現0.000001471 | 損益-99.6% | 峰值+0.0% | 查無報價疑歸零
psyopcat | S85分 | 盾:verified | 首日 | 進0.0001008 | 現0.000004000 | 損益-96.0% | 峰值+1.2% | 陣亡(70%)
she  | S78分 | 盾:verified | 首日 | 進0.0001156 | 現0.000004455 | 損益-96.1% | 峰值+0.0% | 陣亡(70%)

-- 2026-07-21 批次 第10天 (10隻) --
POB | S88分 | 盾:verified | 首日 | 進0.0007093 | 現0.00008609 | 損益-87.9% | 峰值+1.1% | 陣亡(70%)
GMEBULL | S87分 | 盾:verified | 首日 | 進0.0006253 | 現0.00003185 | 損益-94.9% | 峰值×2.84 | 陣亡(70%)
WHALE | S86分 | 盾:verified | 首日 | 進0.00009986 | 現0.00001491 | 損益-85.1% | 峰值×2.86 | 查無報價疑歸零
Jimhood | S85分 | 盾:verified | 首日 | 進0.0008171 | 現2.700 | 損益×3304.37 | 峰值×3304.37 | 查無報價疑歸零
MOONY | S84分 | 盾:verified | 首日 | 進0.0001242 | 現0.000001889 | 損益-98.5% | 峰值+0.0% | 陣亡(70%)
1jimothy | A77分 | 盾:verified | 首日 | 進0.001180 | 現0.000003511 | 損益-99.7% | 峰值×3.02 | 陣亡(70%)
RTM | A72分 | 盾:verified | 首日 | 進0.0003514 | 現0.0001529 | 損益-56.5% | 峰值+0.0% | 追蹤中
Rigby | A64分 | 盾:verified | 首日 | 進0.0002621 | 現0.00003511 | 損益-86.6% | 峰值+34.3% | 陣亡(70%)
LEAD | A77分 | 盾:verified | 首日 | 進0.00003317 | 現0.000002225 | 損益-93.3% | 峰值+77.7% | 查無報價疑歸零
GROKATHON | A77分 | 盾:verified | 首日 | 進0.00002683 | 現0.000006299 | 損益-76.5% | 峰值+0.4% | 陣亡(70%)

-- 2026-07-20 批次 第11天 (4隻) --
YMIR | A73分 | 盾:verified | 首日 | 進0.0003809 | 現0.00002308 | 損益-93.9% | 峰值+30.1% | 查無報價疑歸零
CONVICTION | S80分 | 盾:verified | 首日 | 進0.00006399 | 現0.000002148 | 損益-96.6% | 峰值+0.8% | 查無報價疑歸零
HORSE | A77分 | 盾:verified | 首日 | 進0.00006919 | 現0.00006703 | 損益-3.1% | 峰值×3.65 | 曾達2x
Wukong | A75分 | 盾:verified | 首日 | 進0.00003739 | 現0.00003594 | 損益-3.9% | 峰值+0.0% | 查無報價疑歸零

-- 2026-07-19 批次 第12天 (9隻) --
Chonketha | S82分 | 盾:verified | 首日 | 進0.0001540 | 現0.003528 | 損益×22.91 | 峰值×22.91 | 曾達5x達標
WINGIT | S81分 | 盾:verified | 首日 | 進0.005136 | 現0.002153 | 損益-58.1% | 峰值+0.0% | 追蹤中
PRIETA | S81分 | 盾:verified | 首日 | 進0.0001869 | 現0.000006984 | 損益-96.3% | 峰值+2.0% | 查無報價疑歸零
PONED | A75分 | 盾:verified | 首日 | 進0.0003519 | 現0.0001217 | 損益-65.4% | 峰值+68.7% | 追蹤中
SharkCAT | S80分 | 盾:verified | 首日 | 進0.00003678 | 現0.00001620 | 損益-56.0% | 峰值+33.7% | 查無報價疑歸零
Rod | S79分 | 盾:verified | 首日 | 進0.00003457 | 現0.00002522 | 損益-27.0% | 峰值×2.07 | 查無報價疑歸零
bcat | B63分 | 盾:verified | 首日 | 進0.0001046 | 現0.0001368 | 損益+30.8% | 峰值×3.45 | 曾達2x
GHOSTI | B63分 | 盾:verified | 蟬聯2天 | 進0.00007714 | 現0.00003099 | 損益-59.8% | 峰值+53.9% | 追蹤中
SCAPE | B60分 | 盾:verified | 首日 | 進0.00008321 | 現0.00004547 | 損益-45.4% | 峰值+0.0% | 追蹤中

-- 2026-07-18 批次 第14天 (6隻) --
BULLARMY | S82分 | 盾:verified | 蟬聯2天 | 進0.0002482 | 現0.000002373 | 損益-99.0% | 峰值+48.5% | 查無報價疑歸零
Chameleon | A76分 | 盾:verified | 首日 | 進0.00007903 | 現0.00002756 | 損益-65.1% | 峰值+17.5% | 追蹤中
CAVIAR | A75分 | 盾:verified | 首日 | 進0.0001577 | 現0.00004593 | 損益-70.9% | 峰值+0.0% | 查無報價疑歸零
sAGENT | A68分 | 盾:verified | 首日 | 進0.0001476 | 現0.00004204 | 損益-71.5% | 峰值+30.4% | 陣亡(70%)
papoi | S86分 | 盾:verified | 首日 | 進0.00009676 | 現0.00001282 | 損益-86.8% | 峰值+0.0% | 查無報價疑歸零
Quasi | A75分 | 盾:verified | 首日 | 進0.00003435 | 現0.000009359 | 損益-72.8% | 峰值×2.86 | 查無報價疑歸零

-- 2026-07-17 批次 第14天 (10隻) --
