═══ SOL迷因雷達 報告 v2.5 ═══
時間: 2026/7/28 07:30:05

【口袋名單】共 147 筆

-- 2026-07-28 批次 第0天 (10隻) --
BULLCAT | A73分 | 盾:verified | 首日 | 進0.0003698 | 現0.00006198 | 損益-83.2% | 峰值×5.91 | 曾達5x達標
Udin | A64分 | 盾:verified | 首日 | 進0.0003487 | 現0.0004245 | 損益+21.7% | 峰值+80.0% | 上漲中
LCID | A75分 | 盾:verified | 首日 | 進0.00005505 | 現0.00005397 | 損益-2.0% | 峰值+0.0% | 查無報價疑歸零
Peigengoo | A73分 | 盾:verified | 首日 | 進0.00005972 | 現0.00006165 | 損益+3.2% | 峰值×4.30 | 曾達2x
$shart | A71分 | 盾:verified | 首日 | 進0.00002860 | 現0.00002860 | 損益+0.0% | 峰值+0.0% | 查無報價疑歸零
POINTLESS | A69分 | 盾:verified | 首日 | 進0.00006806 | 現0.000007929 | 損益-88.3% | 峰值+0.0% | 陣亡(70%)
TOESCOIN | B63分 | 盾:verified | 首日 | 進0.005733 | 現0.006780 | 損益+18.3% | 峰值+34.8% | 上漲中

-- 2026-07-14 批次 第13天 (6隻) --
HOOD | S94分 | 盾:verified | 首日 | 進0.0001051 | 現0.0001041 | 損益-1.0% | 峰值+0.0% | 查無報價疑歸零
brain | S85分 | 盾:verified | 首日 | 進0.0005549 | 現0.00002033 | 損益-96.3% | 峰值+20.0% | 陣亡(70%)
Diarrhea | S84分 | 盾:verified | 首日 | 進0.0003178 | 現0.00002735 | 損益-91.4% | 峰值+8.5% | 陣亡(70%)
CashDog | S82分 | 盾:verified | 首日 | 進0.0001129 | 現0.00001688 | 損益-85.0% | 峰值+1.6% | 查無報價疑歸零
PEPE | A72分 | 盾:verified | 首日 | 進0.00006284 | 現0.000001685 | 損益-97.3% | 峰值+36.7% | 查無報價疑歸零
ROAST | B63分 | 盾:verified | 首日 | 進0.00003567 | 現0.00003567 | 損益+0.0% | 峰值+0.0% | 查無報價疑歸零

-- 2026-07-13 批次 第14天 (8隻) --
SUNNYS | S92分 | 盾:verified | 首日 | 進0.001218 | 現0.000003064 | 損益-99.7% | 峰值+76.6% | 陣亡(70%)
HYPNO | S92分 | 盾:verified | 首日 | 進0.0004455 | 現0.000003219 | 損益-99.3% | 峰值+4.8% | 陣亡(70%)
gaycoin | S87分 | 盾:verified | 首日 | 進0.001788 | 現0.000002381 | 損益-99.9% | 峰值+29.3% | 陣亡(70%)
Bison | S85分 | 盾:verified | 首日 | 進0.0003467 | 現0.000007563 | 損益-97.8% | 峰值+3.9% | 陣亡(70%)
RTM | A74分 | 盾:verified | 蟬聯2天 | 進0.0005153 | 現0.0001784 | 損益-65.4% | 峰值+2.1% | 追蹤中
memecoin | A64分 | 盾:verified | 首日 | 進0.002860 | 現0.001132 | 損益-60.4% | 峰值+13.5% | 追蹤中
PUMPCAT | S94分 | 盾:verified | 首日 | 進0.00009188 | 現0.000007660 | 損益-91.7% | 峰值+55.2% | 查無報價疑歸零
CASHPIGGY | A71分 | 盾:verified | 首日 | 進0.00002477 | 現0.00002394 | 損益-3.4% | 峰值+0.0% | 查無報價疑歸零

-- 2026-07-12 批次 第15天 (7隻) --
BARKITO | S92分 | 盾:verified | 首日 | 進0.0003637 | 現0.000002240 | 損益-99.4% | 峰值+0.0% | 陣亡(70%)
GHOSTI | S80分 | 盾:verified | 蟬聯2天 | 進0.0001854 | 現0.00004479 | 損益-75.8% | 峰值+2.3% | 陣亡(70%)
CATWIF | A76分 | 盾:verified | 蟬聯2天 | 進0.0004572 | 現0.00006770 | 損益-85.2% | 峰值+12.6% | 陣亡(70%)
LCM | A76分 | 盾:verified | 首日 | 進0.0001853 | 現0.000002542 | 損益-98.6% | 峰值+0.6% | 陣亡(70%)
REX | A75分 | 盾:verified | 首日 | 進0.0003903 | 現0.0001055 | 損益-73.0% | 峰值+44.9% | 陣亡(70%)
CASHCAT | A72分 | 盾:verified | 首日 | 進0.0002099 | 現0.00002048 | 損益-90.2% | 峰值+10.3% | 陣亡(70%)
FrogCat | S94分 | 盾:verified | 首日 | 進0.0001087 | 現0.000002030 | 損益-98.1% | 峰值+0.0% | 陣亡(70%)

-- 2026-07-11 批次 第17天 (10隻) --
PROPHECY | S88分 | 盾:verified | 首日 | 進0.0001267 | 現0.000006114 | 損益-95.2% | 峰值+72.3% | 陣亡(70%)
BatCat | S88分 | 盾:verified | 首日 | 進0.0001253 | 現0.00009382 | 損益-25.1% | 峰值×2.70 | 曾達2x
ASTRA | S80分 | 盾:verified | 首日 | 進0.0002610 | 現0.000002032 | 損益-99.2% | 峰值+51.9% | 陣亡(70%)
Silk | S80分 | 盾:verified | 首日 | 進0.0001269 | 現0.000003467 | 損益-97.3% | 峰值×2.23 | 陣亡(70%)
Rizzler | A70分 | 盾:verified | 蟬聯2天 | 進0.0001391 | 現0.000004022 | 損益-97.1% | 峰值+13.7% | 陣亡(70%)
SCAPE | A66分 | 盾:verified | 首日 | 進0.00007138 | 現0.00004490 | 損益-37.1% | 峰值×2.81 | 曾達2x
FKB | S87分 | 盾:verified | 首日 | 進0.00003277 | 現0.000001591 | 損益-95.1% | 峰值+0.0% | 陣亡(70%)
SMOLE | S86分 | 盾:verified | 首日 | 進0.00008333 | 現0.000003091 | 損益-96.3% | 峰值×2.35 | 陣亡(70%)
larry | A77分 | 盾:verified | 首日 | 進0.00007187 | 現0.000001587 | 損益-97.8% | 峰值+0.0% | 查無報價疑歸零
tygary | A71分 | 盾:verified | 首日 | 進0.00003151 | 現0.00004618 | 損益+46.6% | 峰值×2.99 | 曾達2x

-- 2026-07-10 批次 第17天 (10隻) --
